experiment,position,frame,objects,median_area,fragments,merged,on_trap
2023-05-16_ageing_optoWhi3_PBmutants,0,0,178,196.5,0.2640449438202247,0.0056179775280898875,0.24157303370786518
2023-05-16_ageing_optoWhi3_PBmutants,0,85,218,228.0,0.3532110091743119,0.03211009174311927,0.3577981651376147
2023-05-16_ageing_optoWhi3_PBmutants,0,170,368,264.0,0.2907608695652174,0.23369565217391305,0.1766304347826087
2023-05-16_ageing_optoWhi3_PBmutants,0,255,2749,160.0,0.33684976355038193,0.05383775918515824,0.03819570753001091
2023-05-16_ageing_optoWhi3_PBmutants,1,0,161,210.0,0.2484472049689441,0.0,0.17391304347826086
2023-05-16_ageing_optoWhi3_PBmutants,1,85,204,278.0,0.24019607843137256,0.12745098039215685,0.16666666666666666
2023-05-16_ageing_optoWhi3_PBmutants,1,170,339,398.0,0.15339233038348082,0.2861356932153392,0.017699115044247787
2023-05-16_ageing_optoWhi3_PBmutants,1,255,2881,148.0,0.3696633113502256,0.03609857688302673,0.06213120444290177
2023-05-16_ageing_optoWhi3_PBmutants,15,0,198,22.0,0.7373737373737373,0.010101010101010102,0.6818181818181818
2023-05-16_ageing_optoWhi3_PBmutants,15,88,190,22.0,0.7263157894736842,0.11578947368421053,0.6684210526315789
2023-05-16_ageing_optoWhi3_PBmutants,15,176,208,28.0,0.6634615384615384,0.1346153846153846,0.5769230769230769
2023-05-16_ageing_optoWhi3_PBmutants,15,265,670,167.5,0.408955223880597,0.12835820895522387,0.2208955223880597
2023-05-16_ageing_optoWhi3_PBmutants,16,0,147,17.0,0.8775510204081632,0.027210884353741496,0.8367346938775511
2023-05-16_ageing_optoWhi3_PBmutants,16,99,314,31.0,0.6019108280254777,0.12101910828025478,0.589171974522293
2023-05-16_ageing_optoWhi3_PBmutants,16,199,290,128.5,0.4827586206896552,0.23103448275862068,0.4241379310344828
2023-05-16_ageing_optoWhi3_PBmutants,16,299,888,161.0,0.3952702702702703,0.10810810810810811,0.19031531531531531
2023-05-16_ageing_optoWhi3_PBmutants,30,0,163,204.0,0.3128834355828221,0.0,0.2147239263803681
2023-05-16_ageing_optoWhi3_PBmutants,30,165,308,255.5,0.3116883116883117,0.2597402597402597,0.20454545454545456
2023-05-16_ageing_optoWhi3_PBmutants,30,331,2269,187.0,0.31643895989422655,0.062141912736888495,0.06346408109299251
2023-05-16_ageing_optoWhi3_PBmutants,30,497,1122,222.0,0.339572192513369,0.25668449197860965,0.08021390374331551
2023-05-16_ageing_optoWhi3_PBmutants,40,0,86,245.5,0.20930232558139536,0.0,0.12790697674418605
2023-05-16_ageing_optoWhi3_PBmutants,40,175,112,474.0,0.14285714285714285,0.38392857142857145,0.08035714285714286
2023-05-16_ageing_optoWhi3_PBmutants,40,351,2579,183.0,0.2753005040713455,0.07018224117875145,0.059713067080263665
2023-05-16_ageing_optoWhi3_PBmutants,40,527,1033,104.0,0.5343659244917716,0.09196515004840271,0.07163601161665054
2023-05-16_ageing_optoWhi3_PBmutants,41,0,89,205.0,0.3258426966292135,0.011235955056179775,0.29213483146067415
2023-05-16_ageing_optoWhi3_PBmutants,41,170,304,248.5,0.3651315789473684,0.2236842105263158,0.33223684210526316
2023-05-16_ageing_optoWhi3_PBmutants,41,340,2344,149.5,0.39419795221843,0.06313993174061433,0.08020477815699659
2023-05-16_ageing_optoWhi3_PBmutants,41,511,0,0.0,0.0,0.0,0.0
2023-05-16_ageing_optoWhi3_PBmutants,42,0,89,204.0,0.39325842696629215,0.02247191011235955,0.3707865168539326
2023-05-16_ageing_optoWhi3_PBmutants,42,165,191,481.0,0.13612565445026178,0.25654450261780104,0.04712041884816754
2023-05-16_ageing_optoWhi3_PBmutants,42,330,2547,165.0,0.3305850019630938,0.08048684727129957,0.07970160973694543
2023-05-16_ageing_optoWhi3_PBmutants,42,496,2298,184.0,0.30765883376849434,0.08006962576153177,0.08790252393385553
2023-05-16_ageing_optoWhi3_PBmutants,49,0,121,18.0,0.8347107438016529,0.0,0.8264462809917356
2023-05-16_ageing_optoWhi3_PBmutants,49,171,390,174.0,0.4076923076923077,0.06923076923076923,0.2282051282051282
2023-05-16_ageing_optoWhi3_PBmutants,49,342,1069,155.0,0.3844714686623012,0.09073900841908325,0.09915809167446211
